Question,Answer,Age,Gender,Personality
"I enjoy activities that engage my senses, like cooking or gardening.",1,48,0,Sensing
I prefer to rely on established procedures rather than improvising.,1,44,0,Sensing
I prefer to have all the facts before making a decision.,1,41,1,Sensing
I tend to focus on specifics rather than generalities.,1,35,0,Sensing
I am good at remembering details and specifics.,1,44,0,Sensing
I trust my intuition to guide me in uncertain situations.,1,33,0,Sensing
I enjoy brainstorming and exploring new possibilities.,1,35,1,Sensing
I often have hunches or gut feelings about things.,1,50,0,Sensing
I enjoy imagining future scenarios and possibilities.,1,18,1,Sensing
I tend to see patterns and connections between seemingly unrelated things.,1,42,1,Sensing
I prefer to explore multiple options rather than settling on one solution.,1,40,0,Sensing
I value logic and reason over emotions when making decisions.,1,20,1,Feeling
I tend to analyze situations objectively rather than considering how they make me feel.,1,31,1,Feeling
I prefer to give feedback based on facts and evidence rather than emotions.,1,22,0,Feeling
I believe it is important to maintain emotional detachment in professional settings.,1,28,1,Feeling
I prioritize fairness and justice over empathy and compassion.,1,31,0,Feeling
I tend to prioritize logical consistency over accommodating the feelings of others.,1,30,1,Feeling
I prefer to solve problems using logical analysis rather than empathetic understanding.,1,41,1,Feeling
I find it easier to express thoughts and ideas than emotions.,1,36,0,Feeling
"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to.",1,23,1,Feeling
I value efficiency and effectiveness over maintaining harmony in relationships.,1,48,0,Feeling
I prefer to make decisions based on objective criteria rather than personal values.,1,36,0,Feeling
I tend to focus on the task at hand rather than the emotional atmosphere of a situation.,1,30,1,Feeling
I value honesty and transparency in relationships.,1,18,1,Feeling
I believe in constructive criticism even if it may be perceived as harsh.,1,48,1,Feeling
I prefer to keep my emotions private rather than sharing them with others.,1,50,0,Feeling
I tend to rely on logic rather than intuition when solving problems.,1,46,1,Feeling
I find it challenging to empathize with the emotions of others.,1,39,0,Feeling
I believe in treating everyone fairly and equally.,1,41,1,Feeling
I prefer to address conflicts rationally rather than emotionally.,1,35,1,Feeling
I believe it is important to remain objective in decision-making.,1,18,0,Feeling
I prioritize practical considerations over emotional ones.,1,39,1,Feeling
I tend to suppress my emotions in favour of logical reasoning.,1,28,1,Feeling
I find it easier to discuss ideas and concepts than personal feelings.,1,24,1,Feeling
I prefer to rely on facts and evidence rather than intuition or gut feelings.,1,48,0,Feeling
I believe in being straightforward in communication.,1,23,1,Feeling
I prefer to plan rather than go with the flow.,1,48,1,Perceiving
I feel uncomfortable with uncertainty and prefer to have a clear plan.,1,26,0,Perceiving
I like to make decisions quickly rather than keeping my options open.,1,31,1,Perceiving
I feel stressed when things are left to the last minute.,1,35,1,Perceiving
I enjoy having a structured routine and sticking to a schedule.,1,47,0,Perceiving
I prefer to complete tasks before moving on to new ones.,1,39,1,Perceiving
I feel satisfied when I accomplish my goals on schedule.,1,26,1,Perceiving
I like to have a clear plan of action before starting a project.,1,26,0,Perceiving
I find it difficult to adapt to changes in plans.,1,41,1,Perceiving
I prefer to work on one task at a time rather than juggle multiple tasks.,1,35,1,Perceiving
I feel more comfortable when things are organized and predictable.,1,41,0,Perceiving
I enjoy setting goals and working towards achieving them.,1,31,0,Perceiving
I prefer to follow a set schedule rather than improvise.,1,42,0,Perceiving
I feel anxious when I have too many open-ended tasks.,1,18,0,Perceiving
I tend to stick to my plans even if unexpected opportunities arise.,1,32,0,Perceiving
I prefer to make decisions quickly rather than ponder all the possibilities.,1,38,1,Perceiving
I enjoy having a clear sense of direction and purpose.,1,36,0,Perceiving
I feel unsettled when plans change at the last minute.,1,26,1,Perceiving
I prefer to make lists and schedules to stay organized.,1,26,1,Perceiving
I feel satisfied when I can check items off my to-do list.,1,27,1,Perceiving
I find it difficult to relax until I have completed my tasks.,1,30,0,Perceiving
I prefer to have deadlines to motivate me to complete tasks.,1,37,0,Perceiving
I enjoy having a sense of closure and completion.,1,49,0,Perceiving
I feel more productive when I have a clear plan in place.,1,22,0,Perceiving
I prefer to stick to my plans rather than being spontaneous.,1,25,0,Perceiving
I prefer quiet evenings at home rather than going out to parties.,2,26,1,Introversion
I enjoy spending time alone with my thoughts.,2,33,1,Introversion
I find large social gatherings overwhelming.,2,42,0,Introversion
I feel drained after spending too much time in social settings.,2,31,1,Introversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,2,48,0,Introversion
I tend to listen more than I talk in social situations.,2,30,1,Introversion
I feel energized after spending time alone.,2,20,0,Introversion
I seek out opportunities to meet new people and try new experiences.,2,22,0,Introversion
I feel comfortable being the centre of attention in a group.,2,40,1,Introversion
I enjoy networking and meeting new people.,2,46,1,Introversion
I feel excited and energized in social situations.,2,40,0,Introversion
I often initiate conversations with strangers.,2,49,0,Introversion
I enjoy being part of a large group and participating in group activities.,2,40,1,Introversion
I prefer to work in a team rather than independently.,2,27,0,Introversion
I feel comfortable speaking in front of large audiences.,2,44,1,Introversion
I enjoy attending social events and parties.,2,48,0,Introversion
I prefer to think before I speak in social situations.,2,44,1,Introversion
I feel comfortable striking up conversations with people I do not know well.,2,29,0,Introversion
I enjoy participating in group discussions and brainstorming sessions.,2,28,1,Introversion
I feel energized by interacting with others.,2,46,1,Introversion
I prefer to have a few close friends rather than many acquaintances.,2,22,0,Introversion
I find it easy to approach strangers and start conversations.,2,40,1,Introversion
I prefer activities that I can do alone rather than in a group.,2,39,0,Introversion
I feel uncomfortable in situations where I do not know anyone.,2,31,0,Introversion
I prefer to observe rather than participate in group activities.,2,42,0,Introversion
"I trust my practical, hands-on experience more than abstract theories.",2,20,0,Sensing
I prefer to focus on details rather than seeing the big picture.,2,36,1,Sensing
I rely on facts and evidence when making decisions.,2,31,1,Sensing
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,2,47,1,Sensing
I pay attention to the present moment rather than thinking about future possibilities.,2,36,1,Sensing
"I prefer concrete, tangible information over abstract concepts.",2,18,1,Sensing
I enjoy activities that require careful attention to detail.,2,36,1,Sensing
I prefer to learn through hands-on experience rather than theoretical study.,2,34,0,Sensing
I tend to notice small changes in my environment.,2,44,0,Sensing
I trust my senses to provide accurate information about the world.,2,48,0,Sensing
I enjoy using practical skills to solve problems.,2,27,1,Sensing
I focus on what is real and tangible rather than what could be.,2,20,1,Sensing
I prefer to stick to proven methods rather than trying new approaches.,2,37,0,Sensing
I trust my observations and experiences over theories and concepts.,2,40,1,Sensing
"I enjoy activities that engage my senses, like cooking or gardening.",2,35,0,Sensing
I prefer to rely on established procedures rather than improvising.,2,43,0,Sensing
I prefer to have all the facts before making a decision.,2,29,0,Sensing
I tend to focus on specifics rather than generalities.,2,27,1,Sensing
I am good at remembering details and specifics.,2,48,1,Sensing
I trust my intuition to guide me in uncertain situations.,2,32,1,Sensing
I enjoy brainstorming and exploring new possibilities.,2,34,1,Sensing
I often have hunches or gut feelings about things.,2,27,0,Sensing
I enjoy imagining future scenarios and possibilities.,2,41,1,Sensing
I tend to see patterns and connections between seemingly unrelated things.,2,25,1,Sensing
I prefer to explore multiple options rather than settling on one solution.,2,26,0,Sensing
I value logic and reason over emotions when making decisions.,2,24,0,Feeling
I tend to analyze situations objectively rather than considering how they make me feel.,2,49,1,Feeling
I prefer to give feedback based on facts and evidence rather than emotions.,2,39,1,Feeling
I believe it is important to maintain emotional detachment in professional settings.,2,47,1,Feeling
I prioritize fairness and justice over empathy and compassion.,2,29,1,Feeling
I tend to prioritize logical consistency over accommodating the feelings of others.,2,39,1,Feeling
I prefer to solve problems using logical analysis rather than empathetic understanding.,2,20,0,Feeling
I find it easier to express thoughts and ideas than emotions.,2,44,0,Feeling
"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to.",2,29,1,Feeling
I value efficiency and effectiveness over maintaining harmony in relationships.,2,49,0,Feeling
I prefer to make decisions based on objective criteria rather than personal values.,2,50,1,Feeling
I tend to focus on the task at hand rather than the emotional atmosphere of a situation.,2,30,0,Feeling
I value honesty and transparency in relationships.,2,47,0,Feeling
I believe in constructive criticism even if it may be perceived as harsh.,2,19,0,Feeling
I prefer to keep my emotions private rather than sharing them with others.,2,46,1,Feeling
I tend to rely on logic rather than intuition when solving problems.,2,18,0,Feeling
I find it challenging to empathize with the emotions of others.,2,29,0,Feeling
I believe in treating everyone fairly and equally.,2,44,0,Feeling
I prefer to address conflicts rationally rather than emotionally.,2,36,1,Feeling
I believe it is important to remain objective in decision-making.,2,43,1,Feeling
I prioritize practical considerations over emotional ones.,2,35,1,Feeling
I tend to suppress my emotions in favour of logical reasoning.,2,27,1,Feeling
I find it easier to discuss ideas and concepts than personal feelings.,2,34,0,Feeling
I prefer to rely on facts and evidence rather than intuition or gut feelings.,2,43,1,Feeling
I believe in being straightforward in communication.,2,21,1,Feeling
I prefer to plan rather than go with the flow.,2,18,0,Perceiving
I feel uncomfortable with uncertainty and prefer to have a clear plan.,2,31,0,Perceiving
I like to make decisions quickly rather than keeping my options open.,2,25,0,Perceiving
I feel stressed when things are left to the last minute.,2,40,1,Perceiving
I enjoy having a structured routine and sticking to a schedule.,2,27,0,Perceiving
I prefer to complete tasks before moving on to new ones.,2,22,1,Perceiving
I feel satisfied when I accomplish my goals on schedule.,2,47,0,Perceiving
I like to have a clear plan of action before starting a project.,2,46,1,Perceiving
I find it difficult to adapt to changes in plans.,2,48,0,Perceiving
I prefer to work on one task at a time rather than juggle multiple tasks.,2,43,1,Perceiving
I feel more comfortable when things are organized and predictable.,2,29,0,Perceiving
I enjoy setting goals and working towards achieving them.,2,24,1,Perceiving
I prefer to follow a set schedule rather than improvise.,2,25,0,Perceiving
I feel anxious when I have too many open-ended tasks.,2,38,1,Perceiving
I tend to stick to my plans even if unexpected opportunities arise.,2,23,0,Perceiving
I prefer to make decisions quickly rather than ponder all the possibilities.,2,26,0,Perceiving
I enjoy having a clear sense of direction and purpose.,2,29,1,Perceiving
I feel unsettled when plans change at the last minute.,2,38,0,Perceiving
I prefer to make lists and schedules to stay organized.,2,50,0,Perceiving
I feel satisfied when I can check items off my to-do list.,2,30,0,Perceiving
I find it difficult to relax until I have completed my tasks.,2,34,1,Perceiving
I prefer to have deadlines to motivate me to complete tasks.,2,45,1,Perceiving
I enjoy having a sense of closure and completion.,2,38,0,Perceiving
I feel more productive when I have a clear plan in place.,2,47,0,Perceiving
I prefer to stick to my plans rather than being spontaneous.,2,40,0,Perceiving
I prefer quiet evenings at home rather than going out to parties.,3,43,1,Introversion
I enjoy spending time alone with my thoughts.,3,25,1,Introversion
I find large social gatherings overwhelming.,3,20,0,Introversion
I feel drained after spending too much time in social settings.,3,42,0,Introversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,3,35,1,Introversion
I tend to listen more than I talk in social situations.,3,50,0,Introversion
I feel energized after spending time alone.,3,47,0,Introversion
I seek out opportunities to meet new people and try new experiences.,3,32,1,Introversion
I feel comfortable being the centre of attention in a group.,3,40,0,Introversion
I enjoy networking and meeting new people.,3,31,0,Introversion
I feel excited and energized in social situations.,3,33,1,Introversion
I often initiate conversations with strangers.,3,42,0,Introversion
I enjoy being part of a large group and participating in group activities.,3,18,0,Introversion
I prefer to work in a team rather than independently.,3,46,1,Introversion
I feel comfortable speaking in front of large audiences.,3,21,1,Introversion
I enjoy attending social events and parties.,3,36,1,Introversion
I prefer to think before I speak in social situations.,3,29,0,Introversion
I feel comfortable striking up conversations with people I do not know well.,3,28,1,Introversion
I enjoy participating in group discussions and brainstorming sessions.,3,22,1,Introversion
I feel energized by interacting with others.,3,25,1,Introversion
I prefer to have a few close friends rather than many acquaintances.,3,50,1,Introversion
I find it easy to approach strangers and start conversations.,3,43,1,Introversion
I prefer activities that I can do alone rather than in a group.,3,49,1,Introversion
I feel uncomfortable in situations where I do not know anyone.,3,47,1,Introversion
I prefer to observe rather than participate in group activities.,3,20,1,Introversion
"I trust my practical, hands-on experience more than abstract theories.",3,38,1,Sensing
I prefer to focus on details rather than seeing the big picture.,3,50,1,Sensing
I rely on facts and evidence when making decisions.,3,49,0,Sensing
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,3,48,0,Sensing
I pay attention to the present moment rather than thinking about future possibilities.,3,27,1,Sensing
"I prefer concrete, tangible information over abstract concepts.",3,47,0,Sensing
I enjoy activities that require careful attention to detail.,3,46,0,Sensing
I prefer to learn through hands-on experience rather than theoretical study.,3,18,0,Sensing
I tend to notice small changes in my environment.,3,38,0,Sensing
I trust my senses to provide accurate information about the world.,3,24,1,Sensing
I enjoy using practical skills to solve problems.,3,38,0,Sensing
I focus on what is real and tangible rather than what could be.,3,46,0,Sensing
I prefer to stick to proven methods rather than trying new approaches.,3,31,1,Sensing
I trust my observations and experiences over theories and concepts.,3,34,1,Sensing
"I enjoy activities that engage my senses, like cooking or gardening.",3,43,1,Sensing
I prefer to rely on established procedures rather than improvising.,3,40,1,Sensing
I prefer to have all the facts before making a decision.,3,43,0,Sensing
I tend to focus on specifics rather than generalities.,3,23,0,Sensing
I am good at remembering details and specifics.,3,26,0,Sensing
I trust my intuition to guide me in uncertain situations.,3,40,1,Sensing
I enjoy brainstorming and exploring new possibilities.,3,34,0,Sensing
I often have hunches or gut feelings about things.,3,32,0,Sensing
I enjoy imagining future scenarios and possibilities.,3,22,0,Sensing
I tend to see patterns and connections between seemingly unrelated things.,3,41,1,Sensing
I prefer to explore multiple options rather than settling on one solution.,3,45,0,Sensing
I value logic and reason over emotions when making decisions.,3,32,0,Feeling
I tend to analyze situations objectively rather than considering how they make me feel.,3,41,0,Feeling
I prefer to give feedback based on facts and evidence rather than emotions.,3,22,1,Feeling
I believe it is important to maintain emotional detachment in professional settings.,3,24,1,Feeling
I prioritize fairness and justice over empathy and compassion.,3,24,0,Feeling
I tend to prioritize logical consistency over accommodating the feelings of others.,3,18,0,Feeling
I prefer to solve problems using logical analysis rather than empathetic understanding.,3,30,0,Feeling
I find it easier to express thoughts and ideas than emotions.,3,33,0,Feeling
"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to.",3,27,1,Feeling
I value efficiency and effectiveness over maintaining harmony in relationships.,3,21,1,Feeling
I prefer to make decisions based on objective criteria rather than personal values.,3,32,0,Feeling
I tend to focus on the task at hand rather than the emotional atmosphere of a situation.,3,33,1,Feeling
I value honesty and transparency in relationships.,3,48,0,Feeling
I believe in constructive criticism even if it may be perceived as harsh.,3,46,1,Feeling
I prefer to keep my emotions private rather than sharing them with others.,3,18,0,Feeling
I tend to rely on logic rather than intuition when solving problems.,3,33,0,Feeling
I find it challenging to empathize with the emotions of others.,3,38,0,Feeling
I believe in treating everyone fairly and equally.,3,49,1,Feeling
I prefer to address conflicts rationally rather than emotionally.,3,32,0,Feeling
I believe it is important to remain objective in decision-making.,3,42,0,Feeling
I prioritize practical considerations over emotional ones.,3,19,0,Feeling
I tend to suppress my emotions in favour of logical reasoning.,3,20,0,Feeling
I find it easier to discuss ideas and concepts than personal feelings.,3,29,1,Feeling
I prefer to rely on facts and evidence rather than intuition or gut feelings.,3,27,1,Feeling
I believe in being straightforward in communication.,3,30,0,Feeling
I prefer to plan rather than go with the flow.,3,22,1,Perceiving
I feel uncomfortable with uncertainty and prefer to have a clear plan.,3,37,1,Perceiving
I like to make decisions quickly rather than keeping my options open.,3,40,1,Perceiving
I feel stressed when things are left to the last minute.,3,45,1,Perceiving
I enjoy having a structured routine and sticking to a schedule.,3,47,0,Perceiving
I prefer to complete tasks before moving on to new ones.,3,36,0,Perceiving
I feel satisfied when I accomplish my goals on schedule.,3,30,1,Perceiving
I like to have a clear plan of action before starting a project.,3,38,0,Perceiving
I find it difficult to adapt to changes in plans.,3,25,0,Perceiving
I prefer to work on one task at a time rather than juggle multiple tasks.,3,27,1,Perceiving
I feel more comfortable when things are organized and predictable.,3,32,0,Perceiving
I enjoy setting goals and working towards achieving them.,3,44,1,Perceiving
I prefer to follow a set schedule rather than improvise.,3,27,1,Perceiving
I feel anxious when I have too many open-ended tasks.,3,34,1,Perceiving
I tend to stick to my plans even if unexpected opportunities arise.,3,49,1,Perceiving
I prefer to make decisions quickly rather than ponder all the possibilities.,3,22,0,Perceiving
I enjoy having a clear sense of direction and purpose.,3,31,1,Perceiving
I feel unsettled when plans change at the last minute.,3,42,1,Perceiving
I prefer to make lists and schedules to stay organized.,3,44,0,Perceiving
I feel satisfied when I can check items off my to-do list.,3,29,0,Perceiving
I find it difficult to relax until I have completed my tasks.,3,42,1,Perceiving
I prefer to have deadlines to motivate me to complete tasks.,3,21,1,Perceiving
I enjoy having a sense of closure and completion.,3,34,0,Perceiving
I feel more productive when I have a clear plan in place.,3,42,1,Perceiving
I prefer to stick to my plans rather than being spontaneous.,3,19,0,Perceiving
I prefer quiet evenings at home rather than going out to parties.,4,42,0,Introversion
I enjoy spending time alone with my thoughts.,4,41,1,Introversion
I find large social gatherings overwhelming.,4,20,0,Introversion
I feel drained after spending too much time in social settings.,4,20,0,Introversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,4,33,0,Introversion
I tend to listen more than I talk in social situations.,4,40,1,Introversion
I feel energized after spending time alone.,4,28,0,Introversion
I seek out opportunities to meet new people and try new experiences.,4,42,0,Introversion
I feel comfortable being the centre of attention in a group.,4,28,1,Introversion
I enjoy networking and meeting new people.,4,25,1,Introversion
I feel excited and energized in social situations.,4,47,1,Introversion
I often initiate conversations with strangers.,4,24,0,Introversion
I enjoy being part of a large group and participating in group activities.,4,28,0,Introversion
I prefer to work in a team rather than independently.,4,36,1,Introversion
I feel comfortable speaking in front of large audiences.,4,32,0,Introversion
I enjoy attending social events and parties.,4,41,1,Introversion
I prefer to think before I speak in social situations.,4,50,1,Introversion
I feel comfortable striking up conversations with people I do not know well.,4,40,1,Introversion
I enjoy participating in group discussions and brainstorming sessions.,4,24,0,Introversion
I feel energized by interacting with others.,4,40,0,Introversion
I prefer to have a few close friends rather than many acquaintances.,4,42,1,Introversion
I find it easy to approach strangers and start conversations.,4,18,0,Introversion
I prefer activities that I can do alone rather than in a group.,4,21,0,Introversion
I feel uncomfortable in situations where I do not know anyone.,4,47,0,Introversion
I prefer to observe rather than participate in group activities.,4,43,0,Introversion
"I trust my practical, hands-on experience more than abstract theories.",4,25,1,Sensing
I prefer to focus on details rather than seeing the big picture.,4,35,1,Sensing
I rely on facts and evidence when making decisions.,4,43,1,Sensing
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,4,22,0,Sensing
I pay attention to the present moment rather than thinking about future possibilities.,4,31,1,Sensing
"I prefer concrete, tangible information over abstract concepts.",4,22,1,Sensing
I enjoy activities that require careful attention to detail.,4,49,0,Sensing
I prefer to learn through hands-on experience rather than theoretical study.,4,21,1,Sensing
I tend to notice small changes in my environment.,4,22,1,Sensing
I trust my senses to provide accurate information about the world.,4,50,0,Sensing
I enjoy using practical skills to solve problems.,4,29,1,Sensing
I focus on what is real and tangible rather than what could be.,4,21,0,Sensing
I prefer to stick to proven methods rather than trying new approaches.,4,27,0,Sensing
I trust my observations and experiences over theories and concepts.,4,38,0,Sensing
"I enjoy activities that engage my senses, like cooking or gardening.",4,44,0,Sensing
I prefer to rely on established procedures rather than improvising.,4,36,1,Sensing
I prefer to have all the facts before making a decision.,4,33,1,Sensing
I tend to focus on specifics rather than generalities.,4,22,1,Sensing
I am good at remembering details and specifics.,4,42,1,Sensing
I trust my intuition to guide me in uncertain situations.,4,27,1,Sensing
I enjoy brainstorming and exploring new possibilities.,4,18,0,Sensing
I often have hunches or gut feelings about things.,4,31,1,Sensing
I enjoy imagining future scenarios and possibilities.,4,34,1,Sensing
I tend to see patterns and connections between seemingly unrelated things.,4,28,1,Sensing
I prefer to explore multiple options rather than settling on one solution.,4,19,0,Sensing
I value logic and reason over emotions when making decisions.,4,33,0,Feeling
I tend to analyze situations objectively rather than considering how they make me feel.,4,48,0,Feeling
I prefer to give feedback based on facts and evidence rather than emotions.,4,39,0,Feeling
I believe it is important to maintain emotional detachment in professional settings.,4,50,1,Feeling
I prioritize fairness and justice over empathy and compassion.,4,34,1,Feeling
I tend to prioritize logical consistency over accommodating the feelings of others.,4,30,0,Feeling
I prefer to solve problems using logical analysis rather than empathetic understanding.,4,23,0,Feeling
I find it easier to express thoughts and ideas than emotions.,4,50,0,Feeling
"I believe in being honest and straightforward, even if it may hurt the feelings of the person I am speaking to.",4,38,0,Feeling
I value efficiency and effectiveness over maintaining harmony in relationships.,4,25,1,Feeling
I prefer to make decisions based on objective criteria rather than personal values.,4,43,0,Feeling
I tend to focus on the task at hand rather than the emotional atmosphere of a situation.,4,37,0,Feeling
I value honesty and transparency in relationships.,4,37,1,Feeling
I believe in constructive criticism even if it may be perceived as harsh.,4,41,0,Feeling
I prefer to keep my emotions private rather than sharing them with others.,4,48,1,Feeling
I tend to rely on logic rather than intuition when solving problems.,4,23,0,Feeling
I find it challenging to empathize with the emotions of others.,4,33,0,Feeling
I believe in treating everyone fairly and equally.,4,21,0,Feeling
I prefer to address conflicts rationally rather than emotionally.,4,37,0,Feeling
I believe it is important to remain objective in decision-making.,4,43,1,Feeling
I prioritize practical considerations over emotional ones.,4,24,1,Feeling
I tend to suppress my emotions in favour of logical reasoning.,4,23,0,Feeling
I find it easier to discuss ideas and concepts than personal feelings.,4,33,1,Feeling
I prefer to rely on facts and evidence rather than intuition or gut feelings.,4,41,0,Feeling
I believe in being straightforward in communication.,4,47,1,Feeling
I prefer to plan rather than go with the flow.,4,50,1,Perceiving
I feel uncomfortable with uncertainty and prefer to have a clear plan.,4,24,0,Perceiving
I like to make decisions quickly rather than keeping my options open.,4,24,0,Perceiving
I feel stressed when things are left to the last minute.,4,35,1,Perceiving
I enjoy having a structured routine and sticking to a schedule.,4,25,1,Perceiving
I prefer to complete tasks before moving on to new ones.,4,33,0,Perceiving
I feel satisfied when I accomplish my goals on schedule.,4,50,0,Perceiving
I like to have a clear plan of action before starting a project.,4,27,1,Perceiving
I find it difficult to adapt to changes in plans.,4,45,1,Perceiving
I prefer to work on one task at a time rather than juggle multiple tasks.,4,26,0,Perceiving
I feel more comfortable when things are organized and predictable.,4,23,1,Perceiving
I enjoy setting goals and working towards achieving them.,4,26,0,Perceiving
I prefer to follow a set schedule rather than improvise.,4,46,0,Perceiving
I feel anxious when I have too many open-ended tasks.,4,43,0,Perceiving
I tend to stick to my plans even if unexpected opportunities arise.,4,18,0,Perceiving
I prefer to make decisions quickly rather than ponder all the possibilities.,4,19,1,Perceiving
I enjoy having a clear sense of direction and purpose.,4,30,1,Perceiving
I feel unsettled when plans change at the last minute.,4,40,0,Perceiving
I prefer to make lists and schedules to stay organized.,4,45,1,Perceiving
I feel satisfied when I can check items off my to-do list.,4,46,0,Perceiving
I find it difficult to relax until I have completed my tasks.,4,27,0,Perceiving
I prefer to have deadlines to motivate me to complete tasks.,4,34,1,Perceiving
I enjoy having a sense of closure and completion.,4,26,1,Perceiving
I feel more productive when I have a clear plan in place.,4,24,0,Perceiving
I prefer to stick to my plans rather than being spontaneous.,4,44,1,Perceiving
I prefer quiet evenings at home rather than going out to parties.,5,43,1,Introversion
I enjoy spending time alone with my thoughts.,5,38,0,Introversion
I find large social gatherings overwhelming.,5,24,1,Introversion
I feel drained after spending too much time in social settings.,5,36,1,Introversion
I prefer deep conversations with a few close friends over small talk with many acquaintances.,5,48,0,Introversion
I tend to listen more than I talk in social situations.,5,25,0,Introversion
I feel energized after spending time alone.,5,30,1,Introversion
I seek out opportunities to meet new people and try new experiences.,5,35,0,Introversion
I feel comfortable being the centre of attention in a group.,5,40,0,Introversion
I enjoy networking and meeting new people.,5,47,0,Introversion
I feel excited and energized in social situations.,5,47,0,Introversion
I often initiate conversations with strangers.,5,20,0,Introversion
I enjoy being part of a large group and participating in group activities.,5,23,0,Introversion
I prefer to work in a team rather than independently.,5,20,1,Introversion
I feel comfortable speaking in front of large audiences.,5,22,0,Introversion
I enjoy attending social events and parties.,5,49,1,Introversion
I prefer to think before I speak in social situations.,5,37,1,Introversion
I feel comfortable striking up conversations with people I do not know well.,5,45,1,Introversion
I enjoy participating in group discussions and brainstorming sessions.,5,31,1,Introversion
I feel energized by interacting with others.,5,49,1,Introversion
I prefer to have a few close friends rather than many acquaintances.,5,32,1,Introversion
I find it easy to approach strangers and start conversations.,5,50,1,Introversion
I prefer activities that I can do alone rather than in a group.,5,50,0,Introversion
I feel uncomfortable in situations where I do not know anyone.,5,32,1,Introversion
I prefer to observe rather than participate in group activities.,5,33,0,Introversion
"I trust my practical, hands-on experience more than abstract theories.",5,19,1,Sensing
I prefer to focus on details rather than seeing the big picture.,5,36,1,Sensing
I rely on facts and evidence when making decisions.,5,19,0,Sensing
I prefer to follow a step-by-step approach rather than experimenting with new ideas.,5,39,0,Sensing
I pay attention to the present moment rather than thinking about future possibilities.,5,27,1,Sensing
"I prefer concrete, tangible information over abstract concepts.",5,48,0,Sensing
I enjoy activities that require careful attention to detail.,5,48,1,Sensing
I prefer to learn through hands-on experience rather than theoretical study.,5,22,0,Sensing
I tend to notice small changes in my environment.,5,44,1,Sensing
I trust my senses to provide accurate information about the world.,5,41,0,Sensing
I enjoy using practical skills to solve problems.,5,18,1,Sensing
I focus on what is real and tangible rather than what could be.,5,48,1,Sensing
I prefer to stick to proven methods rather than trying new approaches.,5,19,0,Sensing
I trust my observations and experiences over theories and concepts.,5,48,1,Sensing
"I enjoy activities that engage my senses, like cooking or gardening.",5,25,1,Sensing
I prefer to rely on established procedures rather than improvising.,5,21,0,Sensing
I prefer to have all the facts before making a decision.,5,42,0,Sensing
